Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
2020-2021,Russell Westbrook,5,186.0,15.7,0.462,0.238,0.512,7.9,23.1,15.2,45.6,0.5,0.4,16.9,27.9,-0.1,0.0,0.0,-0.006,2.9,-1.2,1.7,0.2,0,0
2020-2021,Sam Merrill,8,30.0,8.3,0.357,0.714,0.0,3.5,14.6,8.9,4.2,6.6,0.0,12.5,11.4,0.0,0.1,0.0,0.062,-5.8,5.2,-0.5,0.0,0,0
2020-2021,Semi Ojeleye,2,12.0,-3.8,0.102,0.75,0.5,0.0,0.0,0.0,0.0,4.2,7.9,0.0,17.2,-0.1,0.0,-0.1,-0.314,-10.9,-3.0,-13.9,0.0,0,0
2020-2021,Serge Ibaka,2,18.0,30.7,0.644,0.333,0.667,6.5,19.0,12.9,17.1,2.9,16.2,11.4,22.7,0.1,0.0,0.1,0.285,5.0,7.0,12.0,0.1,0,0
2020-2021,Seth Curry,12,381.0,18.8,0.727,0.551,0.129,1.2,6.7,4.0,11.1,1.1,0.6,6.0,18.7,1.2,0.4,1.6,0.206,3.9,1.4,5.3,0.7,0,0
2020-2021,Shake Milton,12,121.0,4.4,0.485,0.404,0.319,0.0,7.9,4.1,9.8,1.2,0.7,17.0,23.0,-0.2,0.1,-0.1,-0.039,-5.9,-1.8,-7.7,-0.2,0,0
2020-2021,Shaquille Harrison,9,40.0,11.6,0.846,0.25,0.75,0.0,24.4,11.3,9.6,3.7,7.1,48.4,11.2,0.0,0.1,0.0,0.009,-3.6,6.3,2.6,0.0,0,0
2020-2021,Skylar Mays,7,17.0,21.6,0.8,0.0,0.0,0.0,12.7,6.4,10.2,5.8,0.0,16.7,15.6,0.0,0.0,0.1,0.195,0.8,6.0,6.8,0.0,0,0
2020-2021,Solomon Hill,14,145.0,1.1,0.33,0.75,0.167,2.3,11.9,7.1,2.7,0.7,0.6,3.7,8.2,-0.2,0.1,0.0,-0.006,-5.5,-0.4,-5.9,-0.1,0,0
2020-2021,T.J. Leaf,3,7.0,41.6,0.75,0.0,0.0,33.8,16.1,24.8,0.0,0.0,0.0,0.0,25.8,0.1,0.0,0.0,0.332,13.2,-2.5,10.6,0.0,0,0
2020-2021,Tacko Fall,1,1.0,11.9,0.36,0.067,0.4,0.0,100.0,57.8,0.0,0.0,0.0,27.24,0.0,0.0,0.0,0.0,0.092,1.2,-0.5,0.7,0.0,0,0
2020-2021,Taj Gibson,5,138.0,14.4,0.612,0.0,0.05,11.6,15.5,13.4,4.6,3.0,3.5,12.8,7.5,0.2,0.3,0.5,0.159,-1.5,3.6,2.1,0.1,0,0
2020-2021,Talen Horton-Tucker,4,48.0,12.9,0.496,0.208,0.208,4.5,29.5,16.5,8.6,1.1,0.0,10.3,27.1,-0.1,0.1,0.0,-0.002,-2.1,0.2,-1.9,0.0,0,0
2020-2021,Terance Mann,19,378.0,14.1,0.619,0.356,0.269,5.3,10.6,8.0,5.5,1.4,1.3,3.3,14.8,0.8,0.2,1.0,0.133,-0.2,0.0,-0.2,0.2,0,0
2020-2021,Thanasis Antetokounmpo,13,45.0,10.0,0.467,0.0,0.857,7.0,17.0,11.9,8.1,5.5,4.1,23.7,12.0,0.0,0.1,0.1,0.116,-7.5,6.4,-1.1,0.0,0,0
2020-2021,Tim Hardaway Jr.,7,262.0,11.1,0.551,0.564,0.158,2.1,8.4,5.1,5.8,0.6,0.0,5.3,19.7,0.2,-0.1,0.2,0.028,0.3,-2.3,-1.9,0.0,0,1
2020-2021,Timothé Luwawu-Cabarrot,7,25.0,3.1,0.4,0.6,0.0,0.0,12.7,6.6,11.1,0.0,0.0,9.1,20.0,-0.1,0.0,0.0,-0.07,-3.6,-2.0,-5.7,0.0,0,0
