Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Tim Duncan,1,1392,47368.0,100.0,106.4,206.3,91.2,24.217,0.55,0.008,0.414,26.995,0.209,9.73,26.547,18.41,16.417,1.14,4.578,12.365,3.285,2.328,5.627,2,0,1,0,0,15,8,7,10,3,2,0
Tracy McGrady,1,938,30658.0,60.9,36.3,97.3,55.7,22.132,0.517,0.2,0.335,29.319,0.152,4.753,14.952,9.835,26.245,1.945,1.939,10.654,4.682,0.524,5.201,0,0,0,1,0,7,0,0,2,3,2,0
Dirk Nowitzki,1,1522,51368.0,143.7,62.6,206.4,85.0,22.437,0.576,0.224,0.346,26.514,0.193,3.282,21.887,12.658,12.634,1.219,1.898,8.365,4.188,0.358,4.528,1,0,0,0,0,14,0,0,4,5,3,0
Paul Pierce,1,1343,45880.0,86.9,63.3,150.2,65.6,19.738,0.569,0.306,0.436,26.851,0.157,2.767,16.242,9.584,18.724,1.987,1.253,13.206,3.125,0.556,3.672,0,0,0,0,0,10,0,0,0,1,3,0
Pau Gasol,1,1226,41001.0,89.9,54.2,143.9,57.6,21.372,0.565,0.032,0.403,23.328,0.169,8.577,22.2,15.475,16.685,0.76,3.528,12.455,2.803,0.78,3.553,0,0,1,0,0,6,0,0,0,2,2,0
Tony Parker,1,1254,38279.0,65.8,45.7,111.2,30.3,18.243,0.544,0.109,0.284,25.072,0.14,1.359,8.725,5.135,32.203,1.466,0.19,13.978,1.47,-0.364,1.105,0,0,0,0,0,6,0,0,0,3,1,0
Manu Ginobili,1,1057,26859.0,58.9,47.6,106.5,47.5,20.22,0.58,0.394,0.398,24.492,0.19,3.03,12.715,7.976,24.526,2.723,0.875,15.033,2.955,2.038,4.998,0,0,0,0,0,2,0,0,0,0,2,1
Yao Ming,1,486,15818.0,36.7,29.1,66.0,20.7,23.03,0.596,0.001,0.462,26.836,0.2,9.31,23.263,16.468,9.588,0.633,4.399,14.499,1.962,1.258,3.188,0,0,0,0,0,8,0,0,0,2,3,0
Carmelo Anthony,1,1260,43514.0,70.8,37.7,108.6,36.7,19.481,0.542,0.222,0.338,29.662,0.12,5.163,15.106,10.113,14.437,1.42,1.204,10.358,2.529,-1.191,1.341,0,0,0,0,0,10,0,0,0,2,4,0
Chris Bosh,1,893,31936.0,68.8,37.4,106.0,31.3,20.548,0.57,0.069,0.443,24.593,0.159,7.217,20.751,14.098,9.865,1.209,2.292,10.772,2.168,-0.297,1.873,0,0,0,0,0,11,0,0,0,1,0,0
Dwyane Wade,1,1054,35773.0,73.2,47.7,120.7,62.7,23.482,0.553,0.104,0.424,31.427,0.162,4.226,11.756,8.072,30.404,2.382,1.969,13.835,4.166,0.812,4.978,0,0,0,0,0,13,0,3,2,3,3,0
Dwight Howard,1,1242,39457.0,65.7,76.2,142.0,39.1,21.272,0.603,0.009,0.784,22.241,0.172,12.186,29.643,21.069,7.267,1.399,4.383,17.006,0.87,1.029,1.923,0,3,0,0,0,8,4,1,5,1,2,0
Tim Hardaway Jr.,1,736,20109.0,18.6,12.0,30.2,4.5,13.482,0.551,0.543,0.209,22.206,0.073,1.314,10.56,5.931,10.698,1.124,0.424,7.355,0.294,-1.443,-1.129,0,0,0,0,0,0,0,0,0,0,0,0
Gary Payton II,1,208,3103.0,4.0,4.7,8.9,2.5,14.76,0.617,0.349,0.137,13.855,0.136,6.555,13.805,10.209,10.317,3.277,1.795,12.434,-1.132,2.361,1.229,0,0,0,0,0,0,0,0,0,0,0,0
