Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Final MVP,HOF
2013-2014,Dirk Nowitzki*,7,263.0,13.9,0.48,0.095,0.246,2.1,24.6,12.4,6.9,1.2,1.8,9.7,26.5,-0.2,0.2,0.1,0.011,-0.5,-0.8,-1.3,0.0,0,1
2013-2014,Dwight Howard,6,231.0,27.2,0.581,0.0,0.604,12.5,26.9,19.5,8.5,0.9,6.0,12.4,28.2,0.7,0.2,0.9,0.185,4.3,1.5,5.7,0.4,0,1
2013-2014,Dwyane Wade*,20,693.0,18.5,0.56,0.086,0.324,3.2,11.3,7.4,20.7,2.4,0.7,14.5,27.4,0.7,0.5,1.2,0.086,1.6,-0.7,0.9,0.5,0,1
2013-2014,Kevin Garnett*,12,250.0,17.2,0.568,0.032,0.365,9.1,30.3,19.2,10.8,2.0,1.9,15.1,16.8,0.3,0.3,0.6,0.123,0.5,1.8,2.3,0.3,0,1
2013-2014,Manu Ginobili,23,586.0,20.3,0.593,0.443,0.397,1.8,12.9,7.5,25.1,3.2,0.3,15.7,26.2,1.2,1.0,2.2,0.184,2.9,2.4,5.3,1.1,0,1
2013-2014,Paul Pierce*,12,368.0,15.1,0.573,0.411,0.248,1.3,18.0,9.3,11.6,2.1,1.0,12.3,21.7,0.4,0.3,0.7,0.089,0.6,0.8,1.4,0.3,0,1
2013-2014,Ray Allen*,20,527.0,12.8,0.581,0.594,0.259,3.4,13.2,8.5,9.7,1.5,0.7,13.1,17.8,0.6,0.3,0.9,0.08,1.1,-0.9,0.2,0.3,0,1
2013-2014,Tim Duncan*,23,752.0,21.1,0.568,0.007,0.351,10.4,22.2,16.4,9.6,0.5,3.1,7.3,21.9,2.0,1.2,3.2,0.204,2.5,0.7,3.1,1.0,0,1
2013-2014,Tony Parker*,23,719.0,15.8,0.531,0.101,0.202,0.8,6.4,3.7,26.1,1.1,0.2,14.1,28.3,0.3,0.7,1.1,0.071,0.2,-1.6,-1.4,0.1,0,1
2014-2015,Dirk Nowitzki*,5,181.0,18.0,0.55,0.202,0.333,2.2,28.3,14.8,10.1,0.5,0.9,9.4,24.0,0.4,0.1,0.4,0.114,2.1,-0.4,1.7,0.2,0,1
2014-2015,Dwight Howard,17,574.0,20.4,0.546,0.0,0.907,11.3,31.4,21.5,5.9,1.9,5.4,12.7,21.2,0.6,0.9,1.5,0.126,1.2,1.2,2.4,0.6,0,1
2014-2015,Manu Ginobili,7,131.0,17.1,0.527,0.512,0.535,3.2,16.8,9.8,36.4,1.6,3.6,20.9,23.0,0.2,0.2,0.3,0.117,1.8,3.0,4.8,0.2,0,1
2014-2015,Pau Gasol*,10,317.0,20.1,0.539,0.035,0.365,6.0,26.1,16.3,18.1,0.8,5.3,13.6,22.2,0.4,0.7,1.1,0.166,1.6,2.2,3.7,0.4,0,1
2014-2015,Paul Pierce*,10,298.0,16.3,0.677,0.636,0.202,0.0,14.8,7.6,5.0,1.0,1.9,8.5,17.5,0.8,0.4,1.2,0.19,2.1,1.7,3.8,0.4,0,1
2014-2015,Tim Duncan*,7,250.0,24.2,0.595,0.011,0.378,7.9,26.0,16.6,16.0,1.8,3.1,6.3,20.1,0.8,0.4,1.2,0.229,3.9,3.5,7.5,0.6,0,1
2014-2015,Tony Parker*,7,210.0,6.5,0.386,0.099,0.187,2.0,10.0,5.8,18.9,0.5,0.0,10.0,23.4,-0.4,0.1,-0.3,-0.067,-5.0,-2.3,-7.4,-0.3,0,1
2015-2016,Dirk Nowitzki*,5,170.0,18.7,0.564,0.133,0.205,2.0,15.0,8.2,9.5,0.6,1.5,7.2,26.6,0.3,-0.2,0.1,0.034,3.2,-1.0,2.2,0.2,0,1
2015-2016,Dwight Howard,5,180.0,15.7,0.51,0.021,0.792,14.4,27.4,20.5,8.2,1.1,3.4,15.6,17.5,0.0,0.1,0.2,0.046,0.4,-0.9,-0.4,0.1,0,1
2015-2016,Dwyane Wade*,14,473.0,22.3,0.532,0.091,0.252,3.2,15.9,9.9,25.4,1.2,2.1,11.9,32.2,0.7,0.8,1.5,0.148,4.2,0.7,4.9,0.8,0,1
2015-2016,Manu Ginobili,10,192.0,16.0,0.586,0.447,0.489,3.8,11.9,8.1,18.5,2.2,1.2,10.9,15.5,0.5,0.3,0.8,0.191,0.1,2.4,2.5,0.2,0,1
2015-2016,Paul Pierce*,5,54.0,-3.4,0.218,0.417,0.333,0.0,10.9,5.5,2.5,1.9,0.0,12.7,13.0,-0.2,0.1,-0.2,-0.141,-9.2,-1.7,-10.9,-0.1,0,1
2015-2016,Tim Duncan*,10,218.0,11.6,0.482,0.0,0.404,5.6,19.0,12.7,9.1,0.5,4.7,14.0,15.2,0.0,0.4,0.4,0.083,-2.4,1.8,-0.6,0.1,0,1
2015-2016,Tim Hardaway Jr.,9,87.0,3.1,0.349,0.538,0.231,0.0,10.6,5.6,11.9,0.0,1.0,9.5,16.3,-0.2,0.0,-0.1,-0.078,-5.3,-2.3,-7.5,-0.1,0,1
2015-2016,Tony Parker*,10,264.0,14.3,0.499,0.163,0.143,0.5,8.7,4.8,31.4,1.2,0.6,14.7,21.5,0.2,0.3,0.4,0.08,-0.4,-0.3,-0.7,0.1,0,1
2016-2017,Dwight Howard,6,157.0,13.9,0.541,0.0,0.528,12.8,33.0,22.8,7.6,1.9,2.5,19.9,14.9,0.0,0.3,0.4,0.114,-2.5,1.5,-1.0,0.0,0,1
2016-2017,Dwyane Wade*,6,190.0,15.5,0.472,0.198,0.244,3.6,13.9,8.8,21.5,1.4,4.3,9.5,25.0,0.1,0.2,0.2,0.063,1.0,0.0,1.0,0.1,0,1
2016-2017,Manu Ginobili,16,284.0,14.1,0.495,0.412,0.237,3.9,12.3,7.9,20.1,2.9,0.7,10.1,18.6,0.3,0.3,0.5,0.092,-1.2,2.2,1.0,0.2,0,1
2016-2017,Pau Gasol*,16,365.0,15.1,0.494,0.158,0.211,11.9,24.7,18.0,12.4,1.0,4.1,12.6,17.3,0.3,0.4,0.7,0.093,-0.2,0.5,0.3,0.2,0,1
2016-2017,Paul Pierce*,7,101.0,7.0,0.569,0.556,0.056,2.5,15.5,8.8,10.2,1.1,0.0,17.8,10.7,0.0,0.1,0.1,0.059,-1.1,1.4,0.3,0.1,0,1
2016-2017,Tim Hardaway Jr.,6,200.0,3.8,0.426,0.512,0.232,1.7,7.3,4.5,5.4,0.7,0.0,10.0,21.3,-0.4,0.2,-0.2,-0.052,-4.4,-2.6,-7.0,-0.3,0,1
2016-2017,Tony Parker*,8,211.0,19.5,0.616,0.196,0.144,1.1,10.3,5.5,20.4,1.0,0.0,10.4,24.2,0.5,0.1,0.6,0.139,3.4,0.1,3.4,0.3,0,1
2017-2018,Carmelo Anthony,6,194.0,9.7,0.452,0.389,0.208,1.7,16.7,9.3,1.6,2.5,1.9,7.1,19.1,-0.2,0.3,0.1,0.018,-2.0,-0.1,-2.2,0.0,0,1
2017-2018,Dwyane Wade*,5,127.0,17.4,0.51,0.057,0.371,2.4,15.3,8.7,27.3,2.6,0.7,11.9,31.4,0.0,0.1,0.1,0.032,0.1,0.6,0.6,0.1,0,1
2017-2018,Manu Ginobili,5,107.0,15.3,0.538,0.486,0.297,1.0,15.9,7.9,25.8,3.4,0.8,14.3,20.9,0.1,0.1,0.2,0.069,-0.3,3.0,2.8,0.1,0,1
2017-2018,Pau Gasol*,5,90.0,15.0,0.615,0.15,0.5,2.3,29.6,15.1,25.5,0.0,1.0,19.7,15.5,0.1,0.0,0.2,0.094,1.1,2.3,3.4,0.1,0,1
2017-2018,Tony Parker*,5,67.0,7.8,0.412,0.135,0.189,0.0,7.2,3.4,17.5,1.5,0.0,9.1,30.1,-0.2,0.0,-0.2,-0.151,-4.1,-2.4,-6.5,-0.1,0,1
2019-2020,Carmelo Anthony,5,176.0,8.4,0.512,0.279,0.206,0.6,14.4,7.5,9.1,1.3,1.0,14.9,20.6,-0.2,0.1,-0.1,-0.021,-2.3,-0.7,-2.9,0.0,0,1
2019-2020,Dwight Howard,18,282.0,15.7,0.677,0.035,0.789,13.5,21.2,17.4,4.5,1.4,2.8,17.2,14.3,0.6,0.4,1.0,0.162,-2.3,0.3,-2.1,0.0,0,1
2019-2020,Tim Hardaway Jr.,6,204.0,12.5,0.536,0.568,0.116,1.6,9.8,5.6,8.1,0.5,0.0,2.9,21.7,0.2,-0.1,0.0,0.007,0.8,-2.7,-1.8,0.0,0,1
2020-2021,Carmelo Anthony,6,143.0,12.2,0.571,0.617,0.183,1.7,13.4,7.7,9.4,0.7,0.6,9.7,22.7,0.1,0.0,0.1,0.023,0.3,-2.1,-1.8,0.0,0,1
2020-2021,Dwight Howard,12,149.0,16.2,0.588,0.033,1.333,19.9,34.9,27.6,6.9,0.6,3.3,20.1,17.2,0.2,0.3,0.5,0.171,-2.7,0.2,-2.5,0.0,0,1
2020-2021,Tim Hardaway Jr.,7,262.0,11.1,0.551,0.564,0.158,2.1,8.4,5.1,5.8,0.6,0.0,5.3,19.7,0.2,-0.1,0.2,0.028,0.3,-2.3,-1.9,0.0,0,1
2021-2022,Gary Payton II,12,203.0,20.6,0.751,0.341,0.409,7.4,12.9,10.2,11.0,3.4,3.5,10.4,12.5,0.7,0.3,1.0,0.235,2.7,4.7,7.4,0.5,0,1
2022-2023,Gary Payton II,12,192.0,17.7,0.707,0.278,0.167,11.7,12.0,11.8,6.8,2.0,2.6,16.0,14.8,0.4,0.2,0.6,0.154,0.9,2.0,2.9,0.2,0,1
2023-2024,Tim Hardaway Jr.,14,178.0,9.1,0.496,0.638,0.138,1.3,14.7,8.0,4.1,1.5,0.5,3.1,16.2,0.0,0.2,0.2,0.056,-2.1,0.4,-1.7,0.0,0,1
