Season,Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,6MOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,MVP,DPOY,ROY,MIP,CPOY,HOF
1996-1997,Elmer Bennett,9,75.0,5.8,0.47,0.474,0.526,0.0,6.0,3.1,22.3,2.8,0.0,29.9,20.0,-0.2,0.0,-0.1,-0.075,-6.7,-1.4,-8.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Elmore Spencer,1,5.0,-7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,50.0,18.3,-0.1,0.0,0.0,-0.366,-12.2,1.1,-11.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Emanual Davis,13,230.0,9.7,0.565,0.5,0.148,1.1,9.6,5.5,17.1,2.1,0.7,22.8,14.7,0.0,0.3,0.3,0.063,-1.8,1.2,-0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Ennis Whatley,3,22.0,5.1,0.5,0.0,0.0,0.0,15.7,8.1,20.5,0.0,0.0,20.0,10.2,0.0,0.0,0.0,0.063,-8.3,-0.7,-9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Leckner,20,126.0,4.9,0.444,0.0,0.364,4.6,29.0,16.6,6.4,1.3,1.2,20.7,17.8,-0.3,0.1,-0.1,-0.045,-10.1,-1.2,-11.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Mobley,28,307.0,6.3,0.472,0.0,0.476,11.2,10.7,11.0,7.3,0.9,2.5,27.6,15.9,-0.4,0.0,-0.4,-0.063,-6.5,-1.9,-8.4,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Montross,78,1828.0,8.8,0.45,0.0,0.178,10.5,21.5,15.8,5.2,0.6,3.1,17.0,11.0,-0.3,1.6,1.4,0.036,-4.3,-0.4,-4.8,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Murdock,12,114.0,18.1,0.588,0.303,0.364,1.0,9.9,5.5,34.8,4.1,1.2,22.3,19.3,0.2,0.1,0.3,0.122,1.8,3.7,5.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Piatkowski,65,747.0,18.2,0.579,0.403,0.282,7.4,9.1,8.2,12.2,2.3,1.0,12.1,22.8,1.7,0.6,2.3,0.146,3.2,-0.2,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Snow,67,775.0,12.5,0.515,0.091,0.402,2.7,8.2,5.5,31.0,2.5,0.3,19.9,14.2,1.0,0.9,1.9,0.117,-1.9,0.9,-1.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Eric Williams,72,2435.0,13.3,0.533,0.01,0.532,5.5,10.4,7.8,8.6,1.5,0.4,12.1,20.3,2.5,0.3,2.9,0.056,-1.1,-1.9,-3.0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Erick Dampier,72,1052.0,11.8,0.451,0.003,0.5,11.1,22.1,16.7,6.9,1.0,5.6,17.0,21.7,-1.0,1.9,0.9,0.04,-4.4,0.7,-3.7,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Erick Strickland,28,759.0,11.0,0.51,0.359,0.313,3.2,10.7,6.9,15.6,1.9,0.5,18.5,21.6,-0.2,0.5,0.3,0.017,-2.5,-0.3,-2.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Ervin Johnson,82,2599.0,14.3,0.543,0.004,0.334,10.3,29.6,20.0,4.3,1.3,6.0,18.1,11.2,1.4,3.8,5.2,0.096,-2.2,1.8,-0.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Evric Gray,5,42.0,2.8,0.388,0.267,0.267,2.4,5.5,3.9,7.2,1.2,0.0,15.2,20.1,-0.1,0.0,-0.1,-0.08,-6.3,-2.9,-9.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Felton Spencer,73,1558.0,9.2,0.524,0.0,0.567,11.9,19.8,15.8,2.1,1.1,2.5,19.9,12.7,0.4,0.9,1.3,0.04,-4.5,-1.1,-5.6,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Frank Brickowski,17,255.0,6.9,0.512,0.274,0.192,2.5,13.7,7.7,9.1,1.0,1.2,19.4,16.5,-0.2,0.1,-0.1,-0.02,-4.8,-0.8,-5.6,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Frankie King,7,59.0,15.0,0.521,0.118,0.294,7.2,18.9,12.9,13.2,3.4,0.0,13.5,15.9,0.1,0.1,0.1,0.113,-1.7,0.3,-1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Fred Hoiberg,47,572.0,15.9,0.59,0.449,0.494,2.8,14.0,8.4,12.0,2.5,0.9,10.4,17.1,1.3,0.8,2.1,0.175,1.5,2.2,3.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Fred Roberts,12,40.0,12.8,0.52,0.0,0.933,5.7,23.6,14.5,0.0,0.0,2.0,19.1,30.1,0.0,0.0,0.0,-0.015,-4.2,-3.0,-7.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Gary Grant,28,365.0,9.1,0.46,0.418,0.2,2.6,9.6,6.2,20.4,2.4,0.0,18.4,18.9,-0.2,0.6,0.4,0.052,-3.3,1.2,-2.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Gary Payton,82,3213.0,21.8,0.545,0.256,0.24,4.0,10.2,7.1,33.8,3.3,0.3,11.6,26.4,8.2,4.7,12.9,0.193,4.4,1.1,5.5,6.1,0,1,1,0,0,1,0,0,0,0,0,0,1
